,precision,recall,f1-score,support
COLLECTION,0.0,0.0,0.0,21.0
PAIDOFF,0.7307692307692307,0.9661016949152542,0.8321167883211679,59.0
accuracy,0.7125,0.7125,0.7125,0.7125
macro avg,0.36538461538461536,0.4830508474576271,0.41605839416058393,80.0
weighted avg,0.5389423076923077,0.7125,0.6136861313868613,80.0
