,precision,recall,f1-score,support
COLLECTION,0.45454545454545453,0.47619047619047616,0.46511627906976744,21.0
PAIDOFF,0.8103448275862069,0.7966101694915254,0.8034188034188032,59.0
accuracy,0.7125,0.7125,0.7125,0.7125
macro avg,0.6324451410658307,0.6364003228410008,0.6342675412442853,80.0
weighted avg,0.7169474921630095,0.7125,0.7146143907771814,80.0
