,precision,recall,f1-score,support
COLLECTION,0.42857142857142855,0.2857142857142857,0.34285714285714286,21.0
PAIDOFF,0.7727272727272727,0.864406779661017,0.8159999999999998,59.0
accuracy,0.7125,0.7125,0.7125,0.7125
macro avg,0.6006493506493507,0.5750605326876513,0.5794285714285714,80.0
weighted avg,0.6823863636363636,0.7125,0.6918,80.0
