,precision,recall,f1-score,support
COLLECTION,0.0,0.0,0.0,21.0
PAIDOFF,0.7272727272727273,0.9491525423728814,0.823529411764706,59.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.36363636363636365,0.4745762711864407,0.411764705882353,80.0
weighted avg,0.5363636363636364,0.7,0.6073529411764707,80.0
